Run: 0
b'420' b'5856611.000000' b'7323.578509' b'29.380829' b'7352.959650' b'152926'
b'430' b'5856611.000000' b'7506.528053' b'30.161538' b'7536.689912' b'154600'
b'440' b'5856611.000000' b'7690.405597' b'30.926971' b'7721.332909' b'156327'
b'450' b'5856611.000000' b'7875.078144' b'31.665015' b'7906.743504' b'158017'
b'460' b'5856611.000000' b'8060.202771' b'32.397463' b'8092.600613' b'159685'
b'470' b'5856611.000000' b'8244.569873' b'33.127231' b'8277.697488' b'161261'
b'480' b'5856611.000000' b'8432.665264' b'33.874728' b'8466.540384' b'162877'
b'490' b'5856611.000000' b'8619.224143' b'34.616564' b'8653.841108' b'164491'
b'500' b'5856393.000000' b'8803.747330' b'35.351908' b'8839.099657' b'166052'
b'510' b'5856309.000000' b'8992.403562' b'36.090469' b'9028.494455' b'167589'
b'520' b'5856309.000000' b'9179.581939' b'36.834873' b'9216.417244' b'169108'
b'530' b'5856309.000000' b'9365.896955' b'37.616512' b'9403.513906' b'170662'
b'540' b'5856309.000000' b'9551.816202' b'38.393693' b'9590.210340' b'172177'
b'550' b'5856309.000000' b'9738.676657' b'39.200547' b'9777.877652' b'173670'
b'560' b'5855699.000000' b'9929.145031' b'40.003549' b'9969.149038' b'175018'
b'570' b'5855699.000000' b'10118.631458' b'40.840074' b'10159.472009' b'176446'
b'580' b'5855699.000000' b'10309.154753' b'41.650038' b'10350.805272' b'177895'
b'590' b'5855699.000000' b'10498.671843' b'42.494592' b'10541.166923' b'179343'
b'600' b'5855699.000000' b'10687.975209' b'43.320999' b'10731.296703' b'180764'
b'610' b'5855699.000000' b'10876.205345' b'44.131757' b'10920.337603' b'182189'
b'620' b'5855699.000000' b'11066.406330' b'44.938969' b'11111.345805' b'183596'
b'630' b'5855699.000000' b'11256.789848' b'45.714117' b'11302.504479' b'184923'
b'640' b'5855699.000000' b'11446.976790' b'46.674024' b'11493.651337' b'186329'
b'650' b'5855699.000000' b'11639.231356' b'47.520050' b'11686.751939' b'187722'
b'660' b'5855699.000000' b'11831.471363' b'48.344281' b'11879.816181' b'189071'
b'670' b'5855699.000000' b'12023.337323' b'49.156901' b'12072.494768' b'190377'
b'680' b'5855699.000000' b'12214.051540' b'49.959734' b'12264.011826' b'191667'
b'690' b'5855699.000000' b'12409.107406' b'50.811976' b'12459.919940' b'192959'
b'700' b'5855699.000000' b'12599.742733' b'51.750288' b'12651.493585' b'194287'
b'710' b'5855699.000000' b'12790.671456' b'52.540377' b'12843.212403' b'195641'
b'720' b'5855699.000000' b'12983.563881' b'53.326976' b'13036.891432' b'196932'
b'730' b'5855699.000000' b'13174.850120' b'54.105169' b'13228.955870' b'198263'
b'740' b'5855699.000000' b'13372.269757' b'54.894743' b'13427.165087' b'199553'
b'750' b'5855699.000000' b'13568.368272' b'55.706826' b'13624.075689' b'200792'
b'760' b'5855699.000000' b'13763.784038' b'56.530980' b'13820.315615' b'202014'
b'770' b'5855217.000000' b'13959.081862' b'57.380331' b'14016.462794' b'203261'
b'780' b'5855217.000000' b'14153.349325' b'58.190045' b'14211.539981' b'204437'
b'790' b'5855217.000000' b'14351.282360' b'59.076321' b'14410.359298' b'205609'
b'800' b'5855217.000000' b'14551.876780' b'59.989292' b'14611.866694' b'206711'
b'810' b'5855217.000000' b'14749.872271' b'60.881690' b'14810.754588' b'207885'
b'820' b'5855217.000000' b'14946.194762' b'61.750905' b'15007.946301' b'209099'
b'830' b'5855217.000000' b'15144.630177' b'62.668110' b'15207.298926' b'210248'
b'840' b'5855217.000000' b'15341.989392' b'63.549975' b'15405.540010' b'211412'
b'850' b'5855217.000000' b'15540.583130' b'64.427622' b'15605.011398' b'212580'
b'860' b'5855217.000000' b'15738.785964' b'65.348664' b'15804.135280' b'213756'
b'870' b'5855217.000000' b'15938.854514' b'66.285677' b'16005.140847' b'214874'
b'880' b'5855217.000000' b'16137.120222' b'67.135158' b'16204.256042' b'215993'
b'890' b'5855217.000000' b'16336.643558' b'68.057990' b'16404.702217' b'217114'
b'900' b'5855217.000000' b'16535.102679' b'69.008858' b'16604.112212' b'218278'
b'910' b'5855217.000000' b'16735.436862' b'69.945942' b'16805.383485' b'219395'
b'920' b'5855217.000000' b'16932.555371' b'70.788011' b'17003.344070' b'220520'
b'930' b'5855217.000000' b'17130.597700' b'71.614413' b'17202.212809' b'221627'
b'940' b'5854892.000000' b'17332.797939' b'72.471508' b'17405.270154' b'222659'
b'950' b'5854892.000000' b'17532.079902' b'73.350983' b'17605.431600' b'223790'
b'960' b'5854892.000000' b'17731.784872' b'74.220376' b'17806.005969' b'224897'
b'970' b'5854892.000000' b'17935.058447' b'75.076334' b'18010.135510' b'225959'
b'980' b'5854892.000000' b'18136.579604' b'76.043362' b'18212.623701' b'226995'
b'990' b'5854892.000000' b'18338.299035' b'76.990657' b'18415.290435' b'228147'
b'shortest' b'tour:' b'5854892.000000' b'time' b'18597.890704'
Run: 3
b'0' b'5891868.000000' b'11.206568' b'0.179190' b'11.385758' b'4095'
b'10' b'5889298.000000' b'163.667940' b'0.763611' b'164.431558' b'27655'
b'20' b'5888146.000000' b'325.809418' b'1.339265' b'327.148698' b'39516'
