Run: 0
b'490' b'6661477.000000' b'3465.145077' b'34.396875' b'3499.542223'
b'500' b'6661477.000000' b'3531.163900' b'34.984905' b'3566.149083'
b'510' b'6661477.000000' b'3597.432727' b'35.607072' b'3633.040093'
b'520' b'6661477.000000' b'3663.996245' b'36.304089' b'3700.300648'
b'530' b'6661477.000000' b'3730.137718' b'37.077510' b'3767.215545'
b'540' b'6661477.000000' b'3796.406268' b'37.808326' b'3834.214916'
b'550' b'6661477.000000' b'3862.685973' b'38.374345' b'3901.060657'
b'560' b'6661477.000000' b'3928.884859' b'38.984653' b'3967.869855'
b'570' b'6661477.000000' b'3995.241407' b'39.696007' b'4034.937763'
b'580' b'6661477.000000' b'4061.746745' b'40.406253' b'4102.153350'
b'590' b'6661477.000000' b'4128.374524' b'41.154801' b'4169.529678'
b'600' b'6661458.000000' b'4194.663409' b'41.917195' b'4236.580965'
b'610' b'6661458.000000' b'4261.228519' b'42.589559' b'4303.818443'
b'620' b'6661458.000000' b'4327.397289' b'43.283376' b'4370.681033'
b'630' b'6660776.000000' b'4393.912216' b'43.924128' b'4437.836713'
b'640' b'6660776.000000' b'4460.259426' b'44.516780' b'4504.776577'
b'650' b'6660776.000000' b'4526.635881' b'45.115282' b'4571.751538'
b'660' b'6659519.000000' b'4592.935388' b'45.910146' b'4638.845914'
b'670' b'6659519.000000' b'4658.870391' b'46.640431' b'4705.511206'
b'680' b'6659519.000000' b'4725.179890' b'47.289508' b'4772.469801'
b'690' b'6659519.000000' b'4791.636913' b'48.024219' b'4839.661538'
b'700' b'6659519.000000' b'4858.032276' b'48.727824' b'4906.760507'
b'710' b'6659519.000000' b'4924.428296' b'49.438593' b'4973.867300'
b'720' b'6659519.000000' b'4990.744885' b'50.133148' b'5040.878449'
b'730' b'6659519.000000' b'5057.112102' b'50.859325' b'5107.971849'
b'740' b'6659519.000000' b'5123.308200' b'51.596848' b'5174.905472'
b'750' b'6659519.000000' b'5189.412661' b'52.430419' b'5241.843506'
b'760' b'6659519.000000' b'5255.579529' b'53.218836' b'5308.798794'
b'770' b'6659519.000000' b'5321.708769' b'53.914182' b'5375.623383'
b'780' b'6659519.000000' b'5387.820315' b'54.581552' b'5442.402305'
b'790' b'6659519.000000' b'5454.114471' b'55.205086' b'5509.319999'
b'800' b'6659519.000000' b'5520.533751' b'55.879762' b'5576.413972'
b'810' b'6659519.000000' b'5587.101514' b'56.582482' b'5643.684457'
b'820' b'6659519.000000' b'5653.484179' b'57.250892' b'5710.735534'
b'830' b'6659519.000000' b'5719.686958' b'57.872808' b'5777.560232'
b'840' b'6659519.000000' b'5785.736337' b'58.536567' b'5844.273379'
b'850' b'6659519.000000' b'5852.416542' b'59.210256' b'5911.627279'
b'860' b'6659519.000000' b'5918.765063' b'59.976015' b'5978.741565'
b'870' b'6659519.000000' b'5984.930893' b'60.675011' b'6045.606398'
b'880' b'6659519.000000' b'6051.231935' b'61.333455' b'6112.565889'
b'890' b'6659519.000000' b'6117.823803' b'62.000632' b'6179.824938'
b'900' b'6659519.000000' b'6184.024096' b'62.736116' b'6246.760720'
b'910' b'6659519.000000' b'6250.302942' b'63.343379' b'6313.646834'
b'920' b'6659519.000000' b'6316.675365' b'64.110407' b'6380.786291'
b'930' b'6659519.000000' b'6383.383957' b'64.757973' b'6448.142454'
b'940' b'6659519.000000' b'6449.500072' b'65.478920' b'6514.979518'
b'950' b'6659519.000000' b'6515.850893' b'66.211785' b'6582.063208'
b'960' b'6659519.000000' b'6582.027287' b'66.935856' b'6648.963678'
b'970' b'6659519.000000' b'6648.577113' b'67.699355' b'6716.277008'
b'980' b'6659519.000000' b'6715.001734' b'68.464765' b'6783.467058'
b'990' b'6659519.000000' b'6781.035928' b'69.196857' b'6850.233347'
b'shortest' b'tour:' b'6659519.000000' b'time' b'6910.795096'
Run: 2
b'0' b'6702622.000000' b'9.526765' b'0.147722' b'9.674488'
b'10' b'6699463.000000' b'102.798761' b'0.915457' b'103.714224'
b'20' b'6695879.000000' b'192.905431' b'1.670773' b'194.576215'
b'30' b'6694465.000000' b'279.838294' b'2.432638' b'282.270947'
b'40' b'6688899.000000' b'364.403076' b'3.261911' b'367.665004'
b'50' b'6686975.000000' b'446.490012' b'3.946156' b'450.436191'
b'60' b'6683679.000000' b'526.459051' b'4.625260' b'531.084358'
b'70' b'6683679.000000' b'604.691648' b'5.427566' b'610.119263'
b'80' b'6679098.000000' b'681.587434' b'6.141760' b'687.729247'
b'90' b'6677472.000000' b'756.657101' b'6.865608' b'763.522767'
b'100' b'6676883.000000' b'830.761491' b'7.695617' b'838.457169'
b'110' b'6676883.000000' b'903.667405' b'8.481742' b'912.149214'
b'120' b'6673481.000000' b'975.415773' b'9.255409' b'984.671252'
b'130' b'6673481.000000' b'1046.493178' b'10.071727' b'1056.564979'
b'140' b'6671603.000000' b'1116.870451' b'10.850098' b'1127.720629'
b'150' b'6670211.000000' b'1187.183400' b'11.587604' b'1198.771086'
b'160' b'6670211.000000' b'1256.536017' b'12.363194' b'1268.899301'
b'170' b'6669338.000000' b'1325.255241' b'13.216077' b'1338.471411'
b'180' b'6669116.000000' b'1393.499017' b'13.912176' b'1407.411289'
b'190' b'6666004.000000' b'1461.813452' b'14.603654' b'1476.417206'
b'200' b'6665177.000000' b'1529.659184' b'15.247067' b'1544.906353'
b'210' b'6665177.000000' b'1597.404442' b'15.905150' b'1613.309696'
b'220' b'6662332.000000' b'1665.036527' b'16.608283' b'1681.644918'
b'230' b'6662332.000000' b'1732.570423' b'17.252013' b'1749.822546'
b'240' b'6662332.000000' b'1799.895666' b'17.852377' b'1817.748157'
b'250' b'6662332.000000' b'1866.895840' b'18.580079' b'1885.476036'
b'260' b'6662332.000000' b'1933.880707' b'19.188238' b'1953.069069'
b'270' b'6662332.000000' b'2000.688105' b'19.845095' b'2020.533332'
b'280' b'6662332.000000' b'2067.626429' b'20.685089' b'2088.311654'
b'290' b'6662332.000000' b'2134.542348' b'21.311397' b'2155.853887'
b'300' b'6662332.000000' b'2201.306123' b'22.045995' b'2223.352266'
b'310' b'6662304.000000' b'2267.945263' b'22.684405' b'2290.629822'
b'320' b'6662304.000000' b'2334.951462' b'23.333890' b'2358.285509'
b'330' b'6661519.000000' b'2401.822790' b'24.171813' b'2425.994763'
b'340' b'6661519.000000' b'2468.206573' b'24.905562' b'2493.112297'
b'350' b'6661519.000000' b'2535.095466' b'25.631288' b'2560.726923'
b'360' b'6661519.000000' b'2601.397156' b'26.346228' b'2627.743558'
b'370' b'6661519.000000' b'2667.837324' b'27.070345' b'2694.907848'
b'380' b'6661519.000000' b'2734.238622' b'27.671930' b'2761.910736'
b'390' b'6661519.000000' b'2800.922907' b'28.313524' b'2829.236617'
b'400' b'6661519.000000' b'2867.305072' b'29.138700' b'2896.443963'
b'410' b'6661519.000000' b'2933.998227' b'29.784183' b'2963.782605'
b'420' b'6661519.000000' b'3000.420973' b'30.396148' b'3030.817323'
