Run: 0
b'870' b'5855466.000000' b'4232.365820' b'50.557503' b'4282.923883'
b'880' b'5855466.000000' b'4279.209100' b'51.088373' b'4330.298037'
b'890' b'5855466.000000' b'4326.128697' b'51.619172' b'4377.748435'
b'900' b'5855466.000000' b'4373.051590' b'52.147378' b'4425.199538'
b'910' b'5855466.000000' b'4420.082085' b'52.676019' b'4472.758676'
b'920' b'5854436.000000' b'4466.930278' b'53.209706' b'4520.140562'
b'930' b'5854436.000000' b'4513.925455' b'53.810654' b'4567.736689'
b'940' b'5854436.000000' b'4560.786945' b'54.444773' b'4615.232304'
b'950' b'5854436.000000' b'4607.554043' b'55.047934' b'4662.602565'
b'960' b'5854436.000000' b'4654.631851' b'55.588871' b'4710.221313'
b'970' b'5854436.000000' b'4701.428035' b'56.183115' b'4757.611745'
b'980' b'5854436.000000' b'4748.325394' b'56.691217' b'4805.017212'
b'990' b'5854436.000000' b'4795.320551' b'57.233945' b'4852.555104'
b'shortest' b'tour:' b'5854436.000000' b'time' b'4895.377734'
Run: 2
b'0' b'5892893.000000' b'6.589425' b'0.053279' b'6.642704'
b'10' b'5888932.000000' b'72.079891' b'0.796147' b'72.876047'
b'20' b'5885653.000000' b'135.488220' b'1.439484' b'136.927719'
b'30' b'5885168.000000' b'197.137563' b'2.024151' b'199.161732'
b'40' b'5881919.000000' b'256.645835' b'2.684408' b'259.330264'
b'50' b'5880099.000000' b'314.768069' b'3.235686' b'318.003782'
b'60' b'5878790.000000' b'371.299974' b'3.804727' b'375.104735'
b'70' b'5875778.000000' b'426.463486' b'4.468259' b'430.931784'
b'80' b'5873972.000000' b'480.368551' b'5.099565' b'485.468158'
b'90' b'5871352.000000' b'533.660652' b'5.685938' b'539.346637'
b'100' b'5871126.000000' b'585.933249' b'6.370207' b'592.303505'
b'110' b'5869001.000000' b'637.591692' b'6.934358' b'644.526105'
b'120' b'5868524.000000' b'688.518226' b'7.481860' b'696.000145'
b'130' b'5865385.000000' b'739.040198' b'8.080735' b'747.121000'
b'140' b'5864664.000000' b'789.002150' b'8.616430' b'797.618648'
b'150' b'5864245.000000' b'838.736071' b'9.166964' b'847.903118'
