Run: 0
b'300' b'5857520.000000' b'5148.721142' b'15.904950' b'5164.626309'
b'310' b'5857520.000000' b'5327.085974' b'16.395467' b'5343.481662'
b'320' b'5857440.000000' b'5504.602655' b'16.878026' b'5521.480915'
b'330' b'5857440.000000' b'5683.000796' b'17.382268' b'5700.383306'
b'340' b'5857440.000000' b'5860.355728' b'17.882547' b'5878.238518'
b'350' b'5856193.000000' b'6039.623447' b'18.442083' b'6058.065778'
b'360' b'5856193.000000' b'6221.198911' b'18.930419' b'6240.129583'
b'370' b'5856193.000000' b'6404.390706' b'19.409812' b'6423.800777'
b'380' b'5856193.000000' b'6586.560081' b'19.910309' b'6606.470683'
b'390' b'5856193.000000' b'6768.849430' b'20.400428' b'6789.250155'
b'400' b'5856193.000000' b'6953.198270' b'20.884762' b'6974.083334'
b'410' b'5856193.000000' b'7134.837365' b'21.412036' b'7156.249708'
b'420' b'5856193.000000' b'7315.680527' b'21.882217' b'7337.563059'
b'430' b'5856193.000000' b'7499.008478' b'22.440581' b'7521.449379'
b'440' b'5856193.000000' b'7682.479022' b'22.969619' b'7705.448965'
b'450' b'5856193.000000' b'7867.245136' b'23.448039' b'7890.693505'
b'460' b'5856193.000000' b'8054.967733' b'23.925874' b'8078.893937'
b'470' b'5856193.000000' b'8238.958520' b'24.446990' b'8263.405843'
b'480' b'5856193.000000' b'8423.535855' b'24.956314' b'8448.492506'
b'490' b'5856193.000000' b'8608.411875' b'25.448130' b'8633.860345'
b'500' b'5856193.000000' b'8793.871752' b'25.921720' b'8819.793818'
b'510' b'5856193.000000' b'8977.772207' b'26.412755' b'9004.185310'
b'520' b'5856193.000000' b'9160.758358' b'26.956957' b'9187.715665'
b'530' b'5856193.000000' b'9345.797585' b'27.434121' b'9373.232075'
b'540' b'5856193.000000' b'9532.440188' b'28.033221' b'9560.473782'
b'550' b'5856193.000000' b'9720.560669' b'28.541358' b'9749.102405'
b'560' b'5856193.000000' b'9907.951362' b'29.386989' b'9937.338733'
