Run: 0
b'550' b'5855340.000000' b'9716.181754' b'39.508122' b'9755.690361'
b'560' b'5855340.000000' b'9903.864990' b'40.336121' b'9944.201603'
b'570' b'5855340.000000' b'10093.188341' b'41.119765' b'10134.308603'
b'580' b'5855340.000000' b'10282.673034' b'41.908645' b'10324.582184'
b'590' b'5855340.000000' b'10471.442097' b'42.720446' b'10514.163055'
b'600' b'5855340.000000' b'10659.958927' b'43.704457' b'10703.663901'
b'610' b'5855340.000000' b'10850.872149' b'44.520759' b'10895.393433'
b'620' b'5855340.000000' b'11039.683802' b'45.302240' b'11084.986572'
b'630' b'5855340.000000' b'11233.221437' b'46.217858' b'11279.439830'
b'640' b'5855340.000000' b'11425.368965' b'47.060716' b'11472.430222'
b'650' b'5855340.000000' b'11615.963682' b'47.968912' b'11663.933140'
b'660' b'5855340.000000' b'11808.157613' b'48.908283' b'11857.066449'
b'670' b'5855340.000000' b'11997.348197' b'49.734077' b'12047.082837'
b'680' b'5855340.000000' b'12188.521578' b'50.588641' b'12239.110788'
b'690' b'5855340.000000' b'12381.737776' b'51.448164' b'12433.186517'
b'700' b'5855340.000000' b'12574.816931' b'52.291133' b'12627.108649'
b'710' b'5855340.000000' b'12767.873877' b'53.144989' b'12821.019456'
b'720' b'5855340.000000' b'12961.804341' b'54.002771' b'13015.807709'
b'730' b'5855340.000000' b'13155.638510' b'54.808484' b'13210.447610'
b'740' b'5855340.000000' b'13349.337844' b'55.625217' b'13404.963687'
b'750' b'5855340.000000' b'13541.891956' b'56.466279' b'13598.358867'
b'760' b'5855340.000000' b'13737.332653' b'57.314121' b'13794.647411'
b'770' b'5855340.000000' b'13930.415843' b'58.132703' b'13988.549194'
b'780' b'5855340.000000' b'14123.557829' b'59.013410' b'14182.571893'
b'790' b'5855340.000000' b'14318.177712' b'59.907039' b'14378.085413'
b'800' b'5855340.000000' b'14515.200181' b'60.738983' b'14575.939843'
b'810' b'5855340.000000' b'14712.415208' b'61.571590' b'14773.987481'
b'820' b'5855340.000000' b'14909.885224' b'62.451770' b'14972.337681'
b'830' b'5855340.000000' b'15106.002805' b'63.320270' b'15169.323765'
b'840' b'5855340.000000' b'15306.414718' b'64.189893' b'15370.605308'
b'850' b'5855340.000000' b'15502.600352' b'65.010785' b'15567.611846'
b'860' b'5855340.000000' b'15701.131382' b'65.851187' b'15766.983285'
b'870' b'5855340.000000' b'15901.765122' b'66.777933' b'15968.543777'
b'880' b'5855340.000000' b'16100.648547' b'67.642745' b'16168.292018'
b'890' b'5855340.000000' b'16297.048072' b'68.544332' b'16365.593136'
b'900' b'5855340.000000' b'16494.462174' b'69.437388' b'16563.900316'
b'910' b'5855340.000000' b'16693.182552' b'70.403684' b'16763.586996'
b'920' b'5855340.000000' b'16895.861645' b'71.305159' b'16967.167567'
b'930' b'5855340.000000' b'17095.449497' b'72.155352' b'17167.605619'
b'940' b'5855340.000000' b'17293.543549' b'73.012002' b'17366.556324'
b'950' b'5855340.000000' b'17492.702448' b'73.870928' b'17566.574153'
b'960' b'5855340.000000' b'17694.839035' b'74.794564' b'17769.634383'
b'970' b'5855340.000000' b'17893.770990' b'75.789528' b'17969.561310'
b'980' b'5855340.000000' b'18095.537906' b'76.712167' b'18172.250870'
b'990' b'5855340.000000' b'18295.451680' b'77.628657' b'18373.081138'
b'shortest' b'tour:' b'5855340.000000' b'time' b'18554.951737'
Run: 3
b'0' b'5897575.000000' b'11.435626' b'0.063470' b'11.499097'
b'10' b'5889240.000000' b'165.788683' b'0.665465' b'166.454155'
b'20' b'5888180.000000' b'329.252381' b'1.395547' b'330.647938'
b'30' b'5884287.000000' b'498.198041' b'1.950448' b'500.148501'
b'40' b'5883167.000000' b'665.182249' b'2.600192' b'667.782460'
b'50' b'5879560.000000' b'831.643947' b'3.191292' b'834.835265'
b'60' b'5878125.000000' b'1000.773429' b'3.787565' b'1004.561023'
b'70' b'5875822.000000' b'1169.003533' b'4.374026' b'1173.377596'
b'80' b'5872275.000000' b'1339.340710' b'4.978520' b'1344.319275'
b'90' b'5871545.000000' b'1508.732616' b'5.606716' b'1514.339384'
b'100' b'5871261.000000' b'1677.888666' b'6.220581' b'1684.109308'
b'110' b'5870658.000000' b'1848.824679' b'6.823145' b'1855.647892'
b'120' b'5867177.000000' b'2019.302638' b'7.455544' b'2026.758255'
b'130' b'5864655.000000' b'2192.357219' b'8.079956' b'2200.437252'
b'140' b'5863856.000000' b'2363.506923' b'8.829088' b'2372.336092'
b'150' b'5863856.000000' b'2536.243169' b'9.467310' b'2545.710567'
b'160' b'5863845.000000' b'2707.103829' b'10.141024' b'2717.244946'
b'170' b'5862790.000000' b'2878.528834' b'10.829825' b'2889.358755'
b'180' b'5862723.000000' b'3052.973104' b'11.462385' b'3064.435591'
b'190' b'5860611.000000' b'3225.785552' b'12.117661' b'3237.903319'
b'200' b'5860611.000000' b'3397.240255' b'12.765666' b'3410.006033'
b'210' b'5860611.000000' b'3574.394376' b'13.432686' b'3587.827180'
b'220' b'5860044.000000' b'3747.699975' b'14.128468' b'3761.828565'
b'230' b'5860044.000000' b'3924.459715' b'14.813981' b'3939.273821'
b'240' b'5859366.000000' b'4100.463703' b'15.498618' b'4115.962450'
b'250' b'5859366.000000' b'4277.021849' b'16.179502' b'4293.201484'
b'260' b'5859366.000000' b'4452.385985' b'16.879707' b'4469.265830'
b'270' b'5858931.000000' b'4632.183189' b'17.570453' b'4649.753786'
b'280' b'5858426.000000' b'4809.745710' b'18.266564' b'4828.012423'
b'290' b'5858224.000000' b'4989.100430' b'18.961183' b'5008.061767'
b'300' b'5858224.000000' b'5166.392332' b'19.703245' b'5186.095738'
b'310' b'5858224.000000' b'5347.760500' b'20.433827' b'5368.194494'
b'320' b'5858224.000000' b'5527.503503' b'21.228216' b'5548.731892'
b'330' b'5857721.000000' b'5705.618799' b'21.948083' b'5727.567059'
b'340' b'5857721.000000' b'5886.460546' b'22.663803' b'5909.124532'
b'350' b'5856571.000000' b'6067.256765' b'23.388429' b'6090.645381'
b'360' b'5856571.000000' b'6249.333015' b'24.127466' b'6273.460673'
b'370' b'5856571.000000' b'6429.760468' b'24.999594' b'6454.760258'
b'380' b'5856571.000000' b'6611.899195' b'25.766285' b'6637.665683'
b'390' b'5856571.000000' b'6795.610139' b'26.511297' b'6822.121645'
b'400' b'5856571.000000' b'6975.949182' b'27.232933' b'7003.182327'
b'410' b'5856571.000000' b'7156.095853' b'27.992265' b'7184.088332'
b'420' b'5856571.000000' b'7340.084521' b'28.745239' b'7368.829978'
b'430' b'5856571.000000' b'7522.463409' b'29.492527' b'7551.956160'
b'440' b'5856571.000000' b'7705.367459' b'30.279313' b'7735.647003'
b'450' b'5856571.000000' b'7890.243924' b'31.093360' b'7921.337530'
b'460' b'5855042.000000' b'8074.145367' b'31.866281' b'8106.011900'
b'470' b'5855042.000000' b'8256.878688' b'32.655133' b'8289.534078'
b'480' b'5855042.000000' b'8440.699895' b'33.391158' b'8474.091315'
b'490' b'5855042.000000' b'8625.395393' b'34.165426' b'8659.561085'
b'500' b'5855042.000000' b'8812.543876' b'34.909869' b'8847.454018'
b'510' b'5855042.000000' b'9001.273409' b'35.652969' b'9036.926655'
b'520' b'5855042.000000' b'9190.929614' b'36.453604' b'9227.383498'
b'530' b'5855042.000000' b'9379.700674' b'37.229279' b'9416.930238'
b'540' b'5855042.000000' b'9564.827349' b'37.999320' b'9602.826959'
b'550' b'5855042.000000' b'9752.894687' b'38.791862' b'9791.686846'
b'560' b'5855042.000000' b'9941.348511' b'39.582010' b'9980.930831'
b'570' b'5855042.000000' b'10128.054728' b'40.358382' b'10168.413423'
b'580' b'5855042.000000' b'10316.453703' b'41.154885' b'10357.608908'
b'590' b'5855042.000000' b'10506.149899' b'42.009258' b'10548.159481'
b'600' b'5855042.000000' b'10697.997635' b'42.887945' b'10740.885912'
b'610' b'5855042.000000' b'10889.344598' b'43.741181' b'10933.086118'
b'620' b'5855042.000000' b'11078.251129' b'44.557900' b'11122.809373'
b'630' b'5855042.000000' b'11270.986950' b'45.385523' b'11316.372827'
b'640' b'5855042.000000' b'11460.653959' b'46.206550' b'11506.860866'
b'650' b'5855042.000000' b'11652.304643' b'47.024085' b'11699.329090'
b'660' b'5855042.000000' b'11842.209864' b'47.854614' b'11890.064844'
b'670' b'5855042.000000' b'12032.721113' b'48.693802' b'12081.415285'
b'680' b'5855042.000000' b'12226.023273' b'49.540647' b'12275.564296'
b'690' b'5854924.000000' b'12419.935529' b'50.388775' b'12470.324686'
b'700' b'5854924.000000' b'12613.318287' b'51.272250' b'12664.590923'
b'710' b'5854924.000000' b'12806.325731' b'52.112509' b'12858.438630'
b'720' b'5854924.000000' b'12999.751921' b'52.953493' b'13052.705809'
b'730' b'5854924.000000' b'13193.794062' b'53.971252' b'13247.765714'
b'740' b'5854924.000000' b'13388.305044' b'54.794045' b'13443.099496'
