Run: 0
b'900' b'8339629.000000' b'19454.856544' b'155.342009' b'19610.198960'
b'910' b'8339629.000000' b'19668.453270' b'156.637055' b'19825.090734'
b'920' b'8339629.000000' b'19873.515127' b'158.271433' b'20031.786972'
b'930' b'8339629.000000' b'20079.102985' b'160.201265' b'20239.304665'
b'940' b'8339629.000000' b'20289.316728' b'161.705609' b'20451.022757'
b'950' b'8339629.000000' b'20498.477829' b'163.223874' b'20661.702127'
b'960' b'8339629.000000' b'20704.234569' b'164.765154' b'20869.000148'
b'970' b'8339629.000000' b'20909.026468' b'166.552714' b'21075.579611'
b'980' b'8339629.000000' b'21109.932821' b'168.408775' b'21278.342027'
b'990' b'8339629.000000' b'21311.619713' b'169.993925' b'21481.614073'
b'shortest' b'tour:' b'8339629.000000' b'time' b'21666.297366'
Run: 2
b'0' b'8402675.000000' b'30.076844' b'0.269104' b'30.345948'
b'10' b'8395455.000000' b'331.512769' b'2.502880' b'334.015652'
b'20' b'8393607.000000' b'629.145961' b'4.557133' b'633.703103'
b'30' b'8391030.000000' b'919.515885' b'6.255003' b'925.770900'
b'40' b'8387520.000000' b'1199.015047' b'8.243352' b'1207.258415'
b'50' b'8376605.000000' b'1466.464626' b'10.586669' b'1477.051315'
b'60' b'8376605.000000' b'1724.413570' b'12.666925' b'1737.080521'
b'70' b'8373447.000000' b'1966.754251' b'15.047731' b'1981.802010'
b'80' b'8372307.000000' b'2210.532928' b'16.822634' b'2227.355594'
b'90' b'8368958.000000' b'2446.627564' b'18.783220' b'2465.410821'
b'100' b'8365762.000000' b'2686.307427' b'20.480883' b'2706.788351'
b'110' b'8363297.000000' b'2918.479369' b'22.370307' b'2940.849722'
b'120' b'8362162.000000' b'3139.905459' b'24.113794' b'3164.019305'
b'130' b'8360334.000000' b'3358.351828' b'25.858750' b'3384.210633'
b'140' b'8360334.000000' b'3579.711313' b'27.746480' b'3607.457852'
b'150' b'8356131.000000' b'3797.695215' b'29.821787' b'3827.517066'
b'160' b'8356131.000000' b'4011.942831' b'31.614347' b'4043.557250'
b'170' b'8352336.000000' b'4222.718629' b'33.317087' b'4256.035790'
b'180' b'8352336.000000' b'4433.802146' b'35.221832' b'4469.024053'
b'190' b'8351087.000000' b'4644.186311' b'36.775010' b'4680.961402'
b'200' b'8350092.000000' b'4853.521671' b'38.594939' b'4892.116695'
b'210' b'8349324.000000' b'5064.094145' b'40.395796' b'5104.490032'
b'220' b'8347454.000000' b'5276.007589' b'42.035011' b'5318.042696'
b'230' b'8347454.000000' b'5493.677088' b'43.305502' b'5536.982689'
b'240' b'8346743.000000' b'5706.529614' b'45.021494' b'5751.551209'
b'250' b'8346053.000000' b'5913.108281' b'46.539534' b'5959.647923'
b'260' b'8343146.000000' b'6119.564485' b'48.174510' b'6167.739105'
b'270' b'8343146.000000' b'6321.378246' b'49.952203' b'6371.330562'
b'280' b'8343146.000000' b'6528.450479' b'51.615781' b'6580.066375'
b'290' b'8343146.000000' b'6735.599185' b'53.071757' b'6788.671060'
b'300' b'8343146.000000' b'6948.216796' b'54.337524' b'7002.554443'
b'310' b'8343146.000000' b'7157.584415' b'56.127254' b'7213.711793'
b'320' b'8343146.000000' b'7366.974349' b'57.879621' b'7424.854101'
b'330' b'8343146.000000' b'7571.684717' b'59.869683' b'7631.554538'
b'340' b'8343146.000000' b'7775.169201' b'61.668765' b'7836.838105'
b'350' b'8343146.000000' b'7978.961169' b'63.228636' b'8042.189949'
b'360' b'8343146.000000' b'8184.449979' b'65.070149' b'8249.520275'
b'370' b'8343146.000000' b'8382.140446' b'66.641876' b'8448.782469'
b'380' b'8343146.000000' b'8587.455368' b'68.401998' b'8655.857519'
b'390' b'8342493.000000' b'8791.995163' b'70.281849' b'8862.277165'
b'400' b'8342493.000000' b'8999.689080' b'72.044315' b'9071.733550'
b'410' b'8342493.000000' b'9208.073640' b'73.716795' b'9281.790592'
b'420' b'8342493.000000' b'9408.618263' b'75.515563' b'9484.133987'
b'430' b'8342493.000000' b'9612.026882' b'77.313827' b'9689.340874'
b'440' b'8342493.000000' b'9815.069281' b'78.853363' b'9893.922815'
b'450' b'8342493.000000' b'10017.892737' b'80.488758' b'10098.381694'
b'460' b'8342493.000000' b'10222.771321' b'82.083578' b'10304.855100'
b'470' b'8342493.000000' b'10427.583057' b'83.697002' b'10511.280263'
b'480' b'8342493.000000' b'10635.194558' b'85.447402' b'10720.642167'
b'490' b'8342493.000000' b'10843.978820' b'87.040438' b'10931.019468'
b'500' b'8342493.000000' b'11049.484881' b'88.705622' b'11138.190717'
