Run: 0
b'400' b'5856805.000000' b'2028.380195' b'23.723470' b'2052.103937'
b'410' b'5856805.000000' b'2075.391039' b'24.274283' b'2099.665598'
b'420' b'5856805.000000' b'2122.548281' b'24.909656' b'2147.458219'
b'430' b'5856805.000000' b'2169.641415' b'25.446385' b'2195.088087'
b'440' b'5855131.000000' b'2216.848976' b'26.060729' b'2242.909997'
b'450' b'5855131.000000' b'2263.743094' b'26.633723' b'2290.377128'
b'460' b'5855131.000000' b'2310.757116' b'27.202829' b'2337.960262'
b'470' b'5855131.000000' b'2357.862076' b'27.766493' b'2385.628891'
b'480' b'5855131.000000' b'2405.184327' b'28.381655' b'2433.566309'
b'490' b'5855131.000000' b'2452.049197' b'29.009822' b'2481.059354'
b'500' b'5855131.000000' b'2499.322483' b'29.620441' b'2528.943263'
b'510' b'5855131.000000' b'2546.593866' b'30.249225' b'2576.843436'
b'520' b'5855131.000000' b'2593.880786' b'30.794472' b'2624.675610'
b'530' b'5855131.000000' b'2640.789913' b'31.408831' b'2672.199102'
b'540' b'5855131.000000' b'2687.708698' b'31.972496' b'2719.681559'
b'550' b'5855131.000000' b'2735.011032' b'32.594314' b'2767.605716'
b'560' b'5855131.000000' b'2781.960343' b'33.206799' b'2815.167518'
b'570' b'5855131.000000' b'2828.887331' b'33.748381' b'2862.636092'
b'580' b'5855131.000000' b'2876.037276' b'34.291466' b'2910.329129'
b'590' b'5855131.000000' b'2923.007565' b'34.888762' b'2957.896720'
b'600' b'5855131.000000' b'2969.979804' b'35.492432' b'3005.472636'
b'610' b'5855131.000000' b'3016.841178' b'35.999033' b'3052.840617'
b'620' b'5855131.000000' b'3063.746421' b'36.691868' b'3100.438701'
b'630' b'5855131.000000' b'3110.593235' b'37.258077' b'3147.851742'
b'640' b'5855131.000000' b'3157.544553' b'37.862507' b'3195.407495'
b'650' b'5855131.000000' b'3204.560113' b'38.479989' b'3243.040543'
b'660' b'5855131.000000' b'3251.492213' b'39.073881' b'3290.566542'
b'670' b'5855131.000000' b'3298.608678' b'39.654020' b'3338.263151'
